Sensor ID,Sensor Name,Sensor Description,Status,Upload Date,Year Installed,Location Type,Geometry,Latitude,Longitude
1,Bou292_T,Bourke Street Mall (North),Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8134944036338, 144.965153237914)",-37.8134944036338,144.965153237914
2,Bou283_T,Bourke Street Mall (South),Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8138066724228, 144.965167185971)",-37.8138066724228,144.965167185971
3,Swa295_T,Melbourne Central,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8110530422788, 144.964248046779)",-37.8110530422788,144.964248046779
4,Swa123_T,Town Hall (West),Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8148798759503, 144.966087801437)",-37.8148798759503,144.966087801437
5,PriNW_T,Princes Bridge,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8187424894411, 144.967876562712)",-37.8187424894411,144.967876562712
6,FliS_T,Flinders Street Station Underpass,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8191170445268, 144.965582558609)",-37.8191170445268,144.965582558609
7,Fed_T,Birrarung Marr,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8183237506589, 144.971414820121)",-37.8183237506589,144.971414820121
8,WebBN_T,Webb Bridge,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8229354263742, 144.947175106953)",-37.8229354263742,144.947175106953
9,Col700_T,Southern Cross Station,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8198825259225, 144.951082845706)",-37.8198825259225,144.951082845706
10,BouHbr_T,Victoria Point,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8187647327542, 144.947105451213)",-37.8187647327542,144.947105451213
11,WatCit_T,Waterfront City,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8154565643471, 144.939579299407)",-37.8154565643471,144.939579299407
12,NewQ_T,New Quay,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8145798719868, 144.942923981029)",-37.8145798719868,144.942923981029
13,Wil277_T,Flagstaff Station,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8123434709568, 144.956647742336)",-37.8123434709568,144.956647742336
14,SanBri_T,Sandridge Bridge,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8201124166947, 144.96291897546)",-37.8201124166947,144.96291897546
15,QV_T,State Library,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8106437830727, 144.964471322694)",-37.8106437830727,144.964471322694
16,Col270_T,Australia on Collins,Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8157342252752, 144.965210438559)",-37.8157342252752,144.965210438559
17,Col15_T,Collins Place (South),Installed,27/05/2015 08:54:11 AM +0000,2009,Outdoor,"(-37.8136254240211, 144.973235916778)",-37.8136254240211,144.973235916778
18,Col12_T,Collins Place (North),Installed,27/05/2015 08:54:06 AM +0000,2009,Outdoor,"(-37.8134486106919, 144.973053538633)",-37.8134486106919,144.973053538633
19,LtB210_T,Chinatown-Swanston St (North),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8123720170999, 144.965506710649)",-37.8123720170999,144.965506710649
20,LtB170_T,Chinatown-Russel St (South),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.811729134669, 144.968246601442)",-37.811729134669,144.968246601442
21,Rus180_T,Bourke St-Russel St (West),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8124803013205, 144.967730746932)",-37.8124803013205,144.967730746932
22,Eli274_T,Flinders St-Elizabeth St (East),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8178644478193, 144.965068228214)",-37.8178644478193,144.965068228214
23,Col623_T,Spencer St-Collins St (South),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8190925593958, 144.954527490176)",-37.8190925593958,144.954527490176
24,Col620_T,Spencer St-Collins St (North),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8188796214196, 144.95449198131)",-37.8188796214196,144.95449198131
25,MCEC_T,Melbourne Convention Exhibition Centre,Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8240318840833, 144.955931412038)",-37.8240318840833,144.955931412038
26,Eli483_T,QV Market-Elizabeth St (West),Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8086954214778, 144.960494038903)",-37.8086954214778,144.960494038903
27,Vic_T,QV Market-Peel St,Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8062043823034, 144.956630585614)",-37.8062043823034,144.956630585614
28,VAC_T,The Arts Centre,Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.8212992424763, 144.968793093492)",-37.8212992424763,144.968793093492
29,AG,St. Kilda Rd-Alexandra Gardens,Installed,27/05/2015 08:54:11 AM +0000,2013,Outdoor,"(-37.819658083823, 144.968634533137)",-37.819658083823,144.968634533137
30,Lon189_,Lonsdale St (South),Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,"(-37.8112184919515, 144.966568066001)",-37.8112184919515,144.966568066001
31,Lyg161_,Lygon St (West),Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,"(-37.8016968046535, 144.966589114895)",-37.8016968046535,144.966589114895
32,CSq,City Square,Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,"(-37.8157374166874, 144.966857177706)",-37.8157374166874,144.966857177706
33,Spr13_,Flinders St-Spring St (West),Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,"(-37.8148325157834, 144.974540556573)",-37.8148325157834,144.974540556573
34,Fli32,Flinders St-Spark La,Installed,27/05/2015 08:54:11 AM +0000,2014,Outdoor,"(-37.8153798501116, 144.974150495806)",-37.8153798501116,144.974150495806
35,SouthB,Southbank,Test,27/05/2015 08:54:11 AM +0000,2014,Indoor,"(-37.8202262044322, 144.965076422932)",-37.8202262044322,144.965076422932
36,Que85,Queen St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,"(-37.8164707984673, 144.961276928328)",-37.8164707984673,144.961276928328
37,Lyg260,Lygon St (East),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,"(-37.8013453319892, 144.967123315373)",-37.8013453319892,144.967123315373
38,Swa11,Flinders St-Swanston St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,"(-37.8170916806555, 144.96714779185)",-37.8170916806555,144.96714779185
39,AlfredP_T,Alfred Place,Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,"(-37.8138475498556, 144.970330591529)",-37.8138475498556,144.970330591529
40,Spr201,Lonsdale St-Spring St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,"(-37.8099934057793, 144.972275879457)",-37.8099934057793,144.972275879457
41,FGIC,Fitzroy Gardens Visitor Centre,Installed,27/05/2015 08:54:11 AM +0000,2015,Indoor,"(-37.8136318474239, 144.9810842168)",-37.8136318474239,144.9810842168
42,UM1,Grattan St-Swanston St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,"(-37.8000856548236, 144.963864121768)",-37.8000856548236,144.963864121768
43,UM2,Monash Rd-Swanston St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,"(-37.7984452524968, 144.964117822271)",-37.7984452524968,144.964117822271
44,UM3,Tin Alley-Swanston St (West),Installed,27/05/2015 08:54:11 AM +0000,2015,Outdoor,"(-37.7968227197363, 144.964353917115)",-37.7968227197363,144.964353917115
